A	'ə	 ə 
aïllacionista	ə i ʎ ə s i u n 'i s t ə	 ə 'i ʎ ə s i u n 'i s t ə 
aïllada	ə i ʎ 'a ð ə	 ə 'i ʎ 'a ð ə 
aïllades	ə i ʎ 'a ð ə s	 ə 'i ʎ 'a ð ə s 
aïllament	ə i ʎ ə m 'e n	 ə 'i ʎ ə m 'e n 
aïllant	ə i ʎ 'a n	 ə 'i ʎ 'a n 
aïllar	ə i ʎ 'a	 ə 'i ʎ 'a 
aïllat	ə i ʎ 'a t	 ə 'i ʎ 'a t 
aïllats	ə i ʎ 'a t s	 ə 'i ʎ 'a t s 
aixecament	ə ʃ ə k ə m 'e n	 ə ʃ 'ɛ k ə m 'e n 
ajuntament	ə ʒ u n t ə m 'e n	 ə ʒ 'u n t ə m 'e n 
ajustament	ə ʒ u s t ə m 'e n	 ə ʒ 'u s t ə m 'e n 
al	'ə l	 ə l 
albenc	ə l β 'ɛ ŋ	 ə l β 'ɛ n s 
alcaldessa	ə l k ə l d 'ɛ s ə	 ə l k ə l d 'e s ə 
alçament	ə l s ə m 'e n	 'a l s ə m 'e n 
Alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcàsser	ə l k 'a s ə r	 ə l k 'a s ə 
alcohol	ə l k u 'ɔ l	 ə l k u 'a l 
aleatori	ə l e ə t 'ɔ ɾ i	 ə l ə ə t 'ɔ ɾ i 
alegre	ə l 'e ɣ ɾ ə	 ə l 'ɛ ɣ ɾ ə 
aleshores	ə l ə z 'ɔ ɾ ə s	 ə l ə s 'o ə s 
aleteig	ə l ə t 'ɛ t ʃ	 ə l ə t 'ɛ ʃ 
alfabregueta	ə l f ə β ɾ ə ɣ 'ɛ t ə	 ə l f ə β ɾ ə ɣ u 'ɛ t ə 
algebraic	ə l ʒ ə β ɾ 'a j k	 ə l ʒ ə β ɾ 'a i k 
àlgid	'a l ʒ i t	 'a l ʒ i ð 
àlgids	'a l ʒ i t s	 'a l ʒ i ð s 
algutzir	ə l ɣ u d z 'i	 ə l ɣ 'u d z 'i 
alhora	ə l 'ɔ ɾ ə	 ə l i 'o ɾ ə 
àliga	'a l i ɣ ə	 ' a l i ɣ ə 
àligues	'a l i ɣ ə s	 ' a l i ɣ ə s 
aliment	ə l i m 'e n	 ' a l i m 'e n 
alimenti	ə l i m 'e n t i	 ə l i m 'ɛ n t i 
alineament	ə l i n e ə m 'e n	 ə l i n 'ɛ ə m 'e n 
aljub	ə l ʒ 'u p	 ə l ʒ 'u 
allenc	ə ʎ 'ɛ ŋ	 ə ʎ 'ɛ n s 
alleugerada	ə ʎ ə w ʒ ə ɾ 'a ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə 
alleugerades	ə ʎ ə w ʒ ə ɾ 'a ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'a ð ə s 
alleugerant	ə ʎ ə w ʒ ə ɾ 'a n	 ə ʎ 'ɛ w ʒ ə ɾ 'a n 
alleugerar	ə ʎ ə w ʒ ə ɾ 'a	 ə ʎ 'ɛ w ʒ ə ɾ 'a 
alleugerat	ə ʎ ə w ʒ ə ɾ 'a t	 ə ʎ 'ɛ w ʒ ə ɾ 'a t 
alleugerats	ə ʎ ə w ʒ ə ɾ 'a t s	 ə ʎ 'ɛ w ʒ ə ɾ 'a t s 
alleugerida	ə ʎ ə w ʒ ə ɾ 'i ð ə	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə 
alleugerides	ə ʎ ə w ʒ ə ɾ 'i ð ə s	 ə ʎ 'ɛ w ʒ ə ɾ 'i ð ə s 
alleugerint	ə ʎ ə w ʒ ə ɾ 'i n	 ə ʎ 'ɛ w ʒ ə ɾ 'i n 
alleugerir	ə ʎ ə w ʒ ə ɾ 'i	 ə ʎ 'ɛ w ʒ ə ɾ 'i 
alleugerit	ə ʎ ə w ʒ ə ɾ 'i t	 ə ʎ 'ɛ w ʒ ə ɾ 'i t 
alleugerits	ə ʎ ə w ʒ ə ɾ 'i t s	 ə ʎ 'ɛ w ʒ ə ɾ 'i t s 
alleujament	ə ʎ ə w ʒ ə m 'e n	 ə ʎ 'ɛ w ʒ ə m 'e n 
alliberament	ə ʎ i β ə ɾ ə m 'e n	 ə ʎ i β 'ɛ ɾ ə m 'e n 
allotjament	ə ʎ u d ʒ ə m 'e n	 ə ʎ 'ɔ d ʒ ə m 'e n 
almirallessa	ə l m i ɾ ə ʎ 'ɛ s ə	 ə l m i ɾ ə ʎ 'e s ə 
alosa	ə l 'ɔ z ə	 ə l 'o z ə 
alt	'a l	 'a l t 
Altai	ə l t 'a j	 ə l t 'a i 
altaic	ə l t 'a j k	 ə l t 'a i k 
altra	'a l t ɾ ə	 ' a l t ɾ ə 
altrament	ə l t ɾ ə m 'e n	 ' a l t ɾ ə m 'e n 
altre	'a l t ɾ ə	 ' a l t ɾ ə 
altres	'a l t ɾ ə s	 ' a l t ɾ ə s 
altri	'a l t ɾ i	 ' a l t ɾ i 
alzinenc	ə l z i n 'ɛ ŋ	 ə l z i n 'ɛ n s 
amainada	ə m ə j n 'a ð ə	 ə m ə i n 'a ð ə 
amainades	ə m ə j n 'a ð ə s	 ə m ə i n 'a ð ə s 
amainant	ə m ə j n 'a n	 ə m ə i n 'a n 
amainar	ə m ə j n 'a	 ə m ə i n 'a 
amainat	ə m ə j n 'a t	 ə m ə i n 'a t 
amainats	ə m ə j n 'a t s	 ə m ə i n 'a t s 
amarg	ə m 'a r k	 ə m 'a r 
ambdós	ə m d 'o s	 ə m b d 'o s 
ambdues	ə m d 'u ə s	 ə m b d 'u ə s 
ambigú	ə m b i ɣ 'u	 ə m b 'i ɣ 'u 
ambigüitat	ə m b i ɣ w i t 'a t	 ə m b i ɣ i t 'a t 
ambigüitats	ə m b i ɣ w i t 'a t s	 ə m b i ɣ i t 'a t s 
amblada	ə m b l 'a ð ə	 ə m ə l 'a ð ə 
amblades	ə m b l 'a ð ə s	 ə m ə l 'a ð ə s 
amens	ə m 'ɛ n s	 ə m 'e n s 
amor	ə m 'o r	 ə m 'o 
ampolla	ə m p 'o ʎ ə	 ə m p 'ɔ ʎ ə 
anacard	ə n ə k 'a r	 ə n ə k 'a r t 
anàrquica	ə n 'a r k i k ə	 ə n 'a r k 'i k ə 
anàrquics	ə n 'a r k i k s	 ə n 'a r k 'i k s 
Andreu	ə n d ɾ 'e w	 ə n d ɾ 'ɛ w 
anemoscopi	ə n ə m u s k 'ɔ p i	 ə n 'ɛ m u s k 'ɔ p i 
àngels	'a n ʒ ə l s	 'a n ʒ 'ɛ l s 
Àngels	'a n ʒ ə l s	 'a n ʒ 'ɛ l s 
anihilar	ə n i i l 'a	 ə n i 'a l 'a 
animadversió	ə n i m ə d b ə r s i 'o	 ə n i m 'a d b ə r s i 'o 
animadversions	ə n i m ə d b ə r s i 'o n s	 ə n i m 'a d b ə r s i 'o n s 
animositat	ə n i m u z i t 'a t	 ə n 'i m u z i t 'a t 
anterior	ə n t ə ɾ i 'o r	 ə n t ə ɾ i 'o 
antiacadèmica	ə n t i ə k ə ð 'ɛ m i k ə	 ə n t 'i ə k ə ð 'ɛ m i k ə 
antiacadèmics	ə n t i ə k ə ð 'ɛ m i k s	 ə n t 'i ə k ə ð 'ɛ m i k s 
antiacadèmiques	ə n t i ə k ə ð 'ɛ m i k ə s	 ə n t 'i ə k ə ð 'ɛ m i k ə s 
Antillia	ə n t i ʎ 'i ə	 ə n t 'i ʎ 'i ə 
antimoni	ə n t i m 'ɔ n i	 ə n t i m 'o n i 
antitancs	ə n t i t 'a ŋ s	 ə n t i t 'a ŋ k s 
Antoni	ə n t 'ɔ n i	 ə n t 'o n i 
Anvers	ə m b 'ɛ r s	 ə m b 'e s 
anvers	ə m b 'ɛ r s	 ə m b 'e s 
apagallums	ə p ə ɣ ə ʎ 'u m s	 ə p ə ɣ 'a ʎ 'u m s 
aparcament	ə p ə r k ə m 'e n	 ə p 'a r k ə m 'e n 
aparell	ə p ə ɾ 'ɛ ʎ	 ə p ə ɾ 'e ʎ 
aparentment	ə p ə ɾ ə m m 'e n	 ə p ə ɾ 'e n ə m 'e n 
apartament	ə p ə r t ə m 'e n	 ə p 'a r t ə m 'e n 
apicultura	ə p i k u l t 'u ɾ ə	 ə p i k 'u l t 'u ɾ ə 
aplaudida	ə p l ə w ð 'i ð ə	 ə p l ə u ð 'i ð ə 
aplaudides	ə p l ə w ð 'i ð ə s	 ə p l ə u ð 'i ð ə s 
aplaudiment	ə p l ə w ð i m 'e n	 ə p l 'a w ð i m 'e n 
aplaudint	ə p l ə w ð 'i n	 ə p l ə u ð 'i n 
aplaudir	ə p l ə w ð 'i	 ə p l ə u ð 'i 
apòstrofs	ə p 'ɔ s t ɾ u f s	 ə p 'ɔ s t ɾ 'ɔ f s 
aprehendre	ə p ɾ ə 'ɛ n d ɾ ə	 ə p ɾ ə u n d ɾ ə 
aprofitament	ə p ɾ u f i t ə m 'e n	 ə p ɾ u f 'i t ə m 'e n 
aquàriums	ə k w 'a ɾ i u m s	 ə k w 'a ɾ i w m s 
aqüeducte	ə k w ə ð 'u k t ə	 ə k ə ð 'u k t ə 
aqüeductes	ə k w ə ð 'u k t ə s	 ə k ə ð 'u k t ə s 
aqueix	ə k 'ɛ ʃ	 ə k 'e ʃ 
aquell	ə k 'ɛ ʎ	 ə k 'e ʎ 
aquest	ə k 'ɛ t	 ə k 'ɛ s t 
aqüicultura	ə k w i k u l t 'u ɾ ə	 ə k i k 'u l t 'u ɾ ə 
ariet	ə ɾ i 'ɛ t	 ə ɾ 'i 'ɛ t 
armament	ə r m ə m 'e n	 'a r m ə m 'e n 
armariet	ə r m ə ɾ i 'ɛ t	 ə r m ə ɾ 'i 'ɛ t 
arqueig	ə r k 'ɛ t ʃ	 ə r k 'ɛ ʃ 
arrabassar	ə r ə β ə s 'a	 ə r 'a β ə s 'a 
arranjament	ə r ə n ʒ ə m 'e n	 ə r 'a n ʒ ə m 'e n 
arraulida	ə r ə w l 'i ð ə	 ə r ə u l 'i ð ə 
arraulides	ə r ə w l 'i ð ə s	 ə r ə u l 'i ð ə s 
arraulint	ə r ə w l 'i n	 ə r ə u l 'i n 
arraulir	ə r ə w l 'i	 ə r ə u l 'i 
arrelament	ə r ə l ə m 'e n	 ə r 'ɛ l ə m 'e n 
arriet	ə r i 'ɛ t	 ə r 'i 'ɛ t 
arrodoniment	ə r u ð u n i m 'e n	 ə r u ð 'ɔ n i m 'e n 
arts	'a r s	 'a r t s 
Artur	ə r t 'u r	 ə r t 'u 
arxiduquessa	ə r ʃ i ð u k 'ɛ s ə	 ə r ʃ i ð u k 'e s ə 
arxillaüt	ə r ʃ i ʎ ə 'u t	 ə r ʃ 'i ʎ 'a 'u t 
asimètric	ə s i m 'ɛ t ɾ i k	 ə z i m 'ɛ t ɾ i k 
assaig	ə s 'a t ʃ	 ə s 'a 'i ə 
assalt	ə s 'a l	 ə s 'a l t 
assentament	ə s ə n t ə m 'e n	 ə s 'ɛ n t ə m 'e n 
assessorament	ə s ə s u ɾ ə m 'e n	 ə s ə s 'ɔ ɾ ə m 'e n 
assetjament	ə s ə d ʒ ə m 'e n	 ə s 'ɛ d ʒ ə m 'e n 
asseure's	ə s 'ɛ w ɾ ə s	 ə s ə w ɾ 'ɛ s 
associatiu	ə s u s i ə t 'i w	 ə s u s 'i ə t 'i w 
associatius	ə s u s i ə t 'i w s	 ə s u s 'i ə t 'i w s 
associativa	ə s u s i ə t 'i β ə	 ə s u s 'i ə t 'i β ə 
associatives	ə s u s i ə t 'i β ə s	 ə s u s 'i ə t 'i β ə s 
assoliment	ə s u l i m 'e n	 ə s 'ɔ l i m 'e n 
assumpte	ə s 'u m t ə	 ə s 'u m p t ə 
assumptes	ə s 'u m t ə s	 ə s 'u m p t ə s 
asteroide	ə s t ə ɾ 'ɔ j ð ə	 ə s t ə ɾ 'ɔ 'i ð ə 
astorament	ə s t u ɾ ə m 'e n	 ə s t 'ɔ ɾ ə m 'e n 
astronauta	ə s t ɾ u n 'a w t ə	 ə s t ɾ u n 'a 'u t ə 
astronautes	ə s t ɾ u n 'a w t ə s	 ə s t ɾ u n 'a 'u t ə s 
atendre	ə t 'e n d ɾ ə	 ə t 'ɛ n d ɾ ə 
atenenc	ə t ə n 'ɛ ŋ	 ə t ə n 'ɛ n s 
ateu	ə t 'e w	 ə t 'ɛ w 
atlàntic	ə l l 'a n t i k	 ə t l 'a n t i k 
atles	'a l l ə s	 'a t l ə s 
Atles	'a l l ə s	 'a t l ə s 
atleta	ə l l 'ɛ t ə	 ə t l 'ɛ t ə 
atlètic	ə l l 'ɛ t i k	 ə t l 'ɛ t i k 
atot	ə t 'o t	 ə t 'ɔ t 
atracament	ə t ɾ ə k ə m 'e n	 ə t ɾ 'a k ə m 'e n 
atraient	ə t ɾ ə j 'e n	 ə t ɾ ə i 'e n 
atret	ə t ɾ 'e t	 ə t ɾ 'ɛ t 
atrets	ə t ɾ 'e t s	 ə t ɾ 'ɛ t s 
atroç	ə t ɾ 'ɔ s	 ə t ɾ 'o s 
atropellament	ə t ɾ u p ə ʎ ə m 'e n	 ə t ɾ u p 'ɛ ʎ ə m 'e n 
atur	ə t 'u r	 ə t 'u 
atzar	ə d z 'a r	 ə d z 'a 
aurèola	ə w ɾ 'ɛ u l ə	 ə w ɾ 'ɛ 'ɔ l ə 
auster	ə w s t 'e r	 ə w s t 'e 
Àustria	'a w s t ɾ i ə	 'a w s t ɾ 'i ə 
autocar	ə w t u k 'a r	 ə w t u k 'a 
autòmats	ə w t 'ɔ m ə t s	 ə w t 'ɔ m 'a t s 
autoretrat	ə w t u r ə t ɾ 'a t	 ə w t u ɾ ə t ɾ 'a t 
autoretrats	ə w t u r ə t ɾ 'a t s	 ə w t u ɾ ə t ɾ 'a t s 
autosuficiència	ə w t u s u f i s i 'ɛ n s i ə	 ə w t u z u f i s i 'ɛ n s i ə 
autosuficient	ə w t u s u f i s i 'e n	 ə w t u z u f i s i 'e n 
avançament	ə β ə n s ə m 'e n	 ə β 'a n s ə m 'e n 
avantbraç	ə β ə m b ɾ 'a s	 ə β ə n β ɾ 'a s 
avantpassat	ə β ə m p ə s 'a t	 ə β ə n p ə s 'a t 
avantpassats	ə β ə m p ə s 'a t s	 ə β ə n p ə s 'a t s 
avar	ə β 'a r	 ə β 'a 
avellanenc	ə β ə ʎ ə n 'ɛ ŋ	 ə β ə ʎ ə n 'ɛ n s 
avituallament	ə β i t u ə ʎ ə m 'e n	 ə β i t u 'a ʎ ə m 'e n 
avorriment	ə β u r i m 'e n	 ə β 'ɔ r i m 'e n 
avortament	ə β u r t ə m 'e n	 ə β 'ɔ r t ə m 'e n 
babiloni	b ə β i l 'ɔ n i	 b ə β i l 'o n i 
Badakhxan	b ə ð ə k ʃ 'a n	 b 'a ð ə k ə 'a n 
bagenc	b ə ʒ 'ɛ ŋ	 b ə ʒ 'ɛ n s 
Bahames	b ə 'a m ə s	 b ə m m ə s 
baixkir	b ə ʃ k 'i	 b 'a ʃ s 'i 
balancejar	b ə l ə n s ə ʒ 'a	 b ə l 'a n s ə ʒ 'a 
balbuceig	b ə l β u s 'ɛ t ʃ	 b ə l β u s 'ɛ ʃ 
baldament	b ə l d ə m 'e n	 b 'a l d ə m 'e n 
balear	b ə l e 'a r	 b ə l e 'a 
balears	b ə l e 'a r s	 b ə l 'ɛ 'a s 
Balears	b ə l e 'a r s	 b ə l 'ɛ 'a s 
balneari	b ə l n e 'a ɾ i	 b ə l ə e 'a ɾ i 
Balutxistan	b ə l u t ʃ i s t 'a n	 b ə l 'u t ʃ i s t 'a n 
banc	b 'a ŋ	 b 'a ŋ k 
bancs	b 'a ŋ s	 b 'a ŋ k s 
bàndols	b 'a n d u l s	 b 'a n d 'ɔ l s 
bar	b 'a r	 b 'a 
baronessa	b ə ɾ u n 'ɛ s ə	 b ə ɾ u n 'e s ə 
barranquisme	b ə r ə ŋ k 'i z m ə	 b ə r 'a ŋ k 'i z m ə 
barreig	b ə r 'ɛ t ʃ	 b ə r 'ɛ ʃ 
barroer	b ə r u 'e	 b ə r 'o 'e 
basalt	b ə z 'a l	 b ə z 'a l t 
basament	b ə z ə m 'e n	 b 'a z ə m 'e n 
bastament	b ə s t ə m 'e n	 b 'a s t ə m 'e n 
bastard	b ə s t 'a r t	 b ə s t 'a r 
bastiment	b ə s t i m 'e n	 b 'a s t i m 'e n 
bateig	b ə t 'ɛ t ʃ	 b ə t 'ɛ ʃ 
batxillejar	b ə t ʃ i ʎ ə ʒ 'a	 b ə t ʃ 'i ʎ ə ʒ 'a 
batxillerat	b ə t ʃ i ʎ ə ɾ 'a t	 b ə t ʃ 'i ʎ ə ɾ 'a t 
batxillerats	b ə t ʃ i ʎ ə ɾ 'a t s	 b ə t ʃ 'i ʎ ə ɾ 'a t s 
baül	b ə 'u l	 b 'a ʎ 
be	b 'e	 b 'ɛ 
Beatriu	b e ə t ɾ 'i w	 b e ə t ɾ 'i u 
becquerel	b ə k k ə ɾ 'ɛ l	 b 'ɛ k k ə ɾ 'ɛ l 
beguina	b ə ɣ 'i n ə	 b ə ɣ u 'i n ə 
bei	b 'ɛ j	 b 'ɛ i 
beisbol	b ə j z β 'ɔ l	 b ə i z β 'ɔ l 
beixamel	b ə ʃ ə m 'ɛ l	 b 'ɛ ʃ ə m 'ɛ l 
Belgrad	b ə l ɣ ɾ 'a t	 b ə l ɣ ɾ 'a ð 
bellugueig	b ə ʎ u ɣ 'ɛ t ʃ	 b ə ʎ u ɣ u 'ɛ ʃ 
bemoll	b ə m 'ɔ ʎ	 b ə m 'o ʎ 
ben	b 'e n	 b 'ɛ n 
Benaguasil	b ə n ə ɣ w ə z 'i l	 b ə n ə ɣ w ə s 'i l 
benedictí	b ə n ə ð i k t 'i	 b ə n ə ð 'i k t 'i 
beneficiarà	b ə n ə f i s i ə ɾ 'a	 b ə n ə f i s i 'a ɾ 'a 
beneficioses	b ə n ə f i s i 'o z ə s	 b ə n ə f i s i 'o s ə s 
beneitó	b ə n ə j t 'o	 b ə n ə 'i t 'o 
benvolguda	b ə m b u l ɣ 'u ð ə	 b ə m b 'ɔ l ɣ 'u ð ə 
benvolgudes	b ə m b u l ɣ 'u ð ə s	 b ə m b 'ɔ l ɣ 'u ð ə s 
benvolguts	b ə m b u l ɣ 'u t s	 b ə m b 'ɔ l ɣ 'u t s 
bes	b 'e s	 b 'ɛ s 
Besalú	b ə z ə l 'u	 b ə z 'a l 'u 
besneboda	b ə z n ə β 'ɔ ð ə	 b 'ɛ z n ə β 'ɔ ð ə 
besnebot	b ə z n ə β 'o t	 b 'ɛ z n ə β 'ɔ t 
beso	b 'e z u	 b 'ɛ z u 
Bétera	b 'e t ə ɾ ə	 b 'e t 'e ɾ ə 
Bigorra	b i ɣ 'ɔ r ə	 b i ɣ 'o r ə 
bigudí	b i ɣ u ð 'i	 b i ɣ 'u ð 'i 
billar	b i ʎ 'a r	 b i ʎ 'a 
bioflavonoide	b i u f l ə β u n 'ɔ j ð ə	 b i u f l ə β u n 'ɔ 'i ð ə 
bioluminescència	b i u l u m i n ə s 'ɛ n s i ə	 b i u l u m 'i n ə s 'ɛ n s i ə 
bioma	b i 'ɔ m ə	 b i 'o m ə 
bipolar	b i p u l 'a r	 b i p u l 'a 
bisbalenc	b i z β ə l 'ɛ ŋ	 b i z β ə l 'ɛ n s 
bismut	b i z m 'u t	 b 'i z m 'u t 
bizantí	b i z ə n t 'i	 b i z 'a n t 'i 
bizantina	b i z ə n t 'i n ə	 b i z 'a n t 'i n ə 
blanqueig	b l ə ŋ k 'ɛ t ʃ	 b l ə ŋ k 'ɛ ʃ 
blavenc	b l ə β 'ɛ ŋ	 b l ə β 'ɛ n s 
blens	b l 'ɛ n s	 b l 'e n s 
bloqueig	b l u k 'ɛ t ʃ	 b l u k 'ɛ ʃ 
bloquejada	b l u k ə ʒ 'a ð ə	 b l 'ɔ k ə ʒ 'a ð ə 
bloquejades	b l u k ə ʒ 'a ð ə s	 b l 'ɔ k ə ʒ 'a ð ə s 
bloquejar	b l u k ə ʒ 'a	 b l 'ɔ k ə ʒ 'a 
bloquejat	b l u k ə ʒ 'a t	 b l 'ɔ k ə ʒ 'a t 
bloquejats	b l u k ə ʒ 'a t s	 b l 'ɔ k ə ʒ 'a t s 
bo	b 'ɔ	 b 'o 
bobolinc	b u β u l 'i ŋ	 b u β u l 'i ŋ k 
boc	b 'o k	 b 'ɔ k 
boca	b 'o k ə	 b 'ɔ k ə 
bocs	b 'o k s	 b 'ɔ k s 
boda	b 'o ð ə	 b 'ɔ ð ə 
bodes	b 'o ð ə s	 b 'ɔ ð ə s 
