A	'ə	ə
angoixades	ə ŋ g o ʃ 'a ð ə s	ə ŋ g o i ʃ 'a ð ə s
angoixant	ə ŋ g o ʃ 'a n t	ə ŋ g o i ʃ 'a n t
angoixar	ə ŋ g o ʃ 'a	ə ŋ g o i ʃ 'a
angoixat	ə ŋ g o ʃ 'a t	ə ŋ g o i ʃ 'a t
angoixats	ə ŋ g o ʃ 'a t s	ə ŋ g o i ʃ 'a t s
anguila	ə ŋ g 'i l ə	ə ŋ g u 'i l ə
anoienc	ə n o j 'ə ŋ k	ə n o i 'ə ŋ k
anorèxia	ə n o ɾ 'e t s i ə	ə n o ɾ 'ə t s i ə
antiquada	ə n t i k w 'a ð ə	ə n t i k 'a ð ə
antiquades	ə n t i k w 'a ð ə s	ə n t i k 'a ð ə s
antiquats	ə n t i k w 'a t s	ə n t i k 'a t s
aparell	ə p ə ɾ 'ə ʎ	ə p ə ɾ 'e ʎ
apòstols	ə p 'o s t o l s	ə p o s t 'o l s
apòstrofs	ə p 'o s t ɾ o f s	ə p o s t ɾ 'o s
aprehendre	ə p ɾ ə 'e n d ɾ ə	ə p ɾ ə o n d ɾ ə
aquari	ə k w 'a ɾ i	ə k 'a ɾ i
aquaris	ə k w 'a ɾ i s	ə k 'a ɾ i s
aquàrium	ə k w 'a ɾ i w m	ə k 'a ɾ i w m
aquell	ə k 'ə ʎ	ə k 'e ʎ
aqueus	ə k 'e w s	ə k ə 'u s
aqüicultura	ə k w i k u l t 'u ɾ ə	ə k i k u l t 'u ɾ ə
arborètum	ə ɾ β o ɾ 'e t u m	ə ɾ β o ɾ ə t 'u m
arcaic	ə ɾ k 'a j k	ə ɾ k 'a i k
arcaics	ə ɾ k 'a j t s	ə ɾ k 'a i t s
arcaiques	ə ɾ k 'a j k ə s	ə ɾ k 'a i k ə s
areng	ə ɾ 'ə ŋ k	ə ɾ 'e ŋ k
àrguens	'a ɾ ɣ ə n s	a ɾ ɣ 'e n s
arguïts	ə ɾ ɣ u 'i t s	ə ɾ ɣ u 'i s
argument	ə ɾ ɣ u m 'e n t	a ɾ ɣ u m 'e n t
armament	ə ɾ m ə m 'e n t	a ɾ m ə m 'e n t
arqueà	ə ɾ k e 'a	ə ɾ k ə 'a
arxiduquessa	ə ɾ ʃ i ð u k 'ə s ə	ə ɾ ʃ i ð u k 'e s ə
asimètric	ə s i m 'e t ɾ i k	ə z i m 'e t ɾ i k
asímptota	ə z 'i m t o t ə	ə z i m t 'o t ə
asseure	ə s 'ə w ɾ ə	ə s 'e w ɾ ə
assignada	ə s i n n 'a ð ə	ə s i ə n 'a ð ə
assignades	ə s i n n 'a ð ə s	ə s i ə n 'a ð ə s
assignant	ə s i n n 'a n t	ə s i ə n 'a n t
assignar	ə s i n n 'a	ə s i ə n 'a
assignat	ə s i n n 'a t	ə s i ə n 'a t
assignats	ə s i n n 'a t s	ə s i ə n 'a t s
astènia	ə s t 'è n i ə	ə s t 'e n i ə
astènic	ə s t 'è n i k	ə s t 'e n i k
astronauta	ə s t ɾ o n 'a w t ə	ə s t ɾ o n ə 'u t ə
astronautes	ə s t ɾ o n 'a w t ə s	ə s t ɾ o n ə 'u t ə s
atendre	ə t 'e n d ɾ ə	ə t 'ə n d ɾ ə
atènyer	ə t 'ə ɲ ə	ə t ə ɲ 'e 
atles	'a l l ə s	'a b b l ə s
Atles	'a l l ə s	'a b b l ə s
atraient	ə t ɾ ə j 'e n t	ə t ɾ ə i 'e n t
atreure	ə t ɾ 'ə w ɾ ə	ə t ɾ 'e w ɾ ə
atribuïts	ə t ɾ i β u 'i t s	ə t ɾ i β u 'i s
aurèola	ə w ɾ 'e o l ə	ə w ɾ ə 'o l ə
Àustria	'a w s t ɾ i ə	a w s t ɾ 'i ə
autòmats	ə w t 'o m ə t s	ə w t o m 'a t s
autoretrat	ə w t o r ə t ɾ 'a t	ə w t o ɾ ə t ɾ 'a t
autoretrats	ə w t o r ə t ɾ 'a t s	ə w t o ɾ ə t ɾ 'a t s
autosuficiència	ə w t o s u f i s i 'e n s i ə	ə w t o z u f i s i 'e n s i ə
autosuficient	ə w t o s u f i s i 'e n t	ə w t o z u f i s i 'e n t
avantbraç	ə v ə m b ɾ 'a s	ə v ə n t ə ɾ 'a s
avantpassat	ə v ə m p ə s 'a t	ə v ə n t p ə s 'a t
avantpassats	ə v ə m p ə s 'a t s	ə v ə n t p ə s 'a t s
Azerbaidjan	ə z ə ɾ β ə j dʒ 'a n	ə z ə ɾ β ə i dʒ 'a n
babaues	b ə β 'a w ə s	b ə β 'a ə s
bai	b 'a j	b 'a i
bàrbar	b 'a ɾ β ə	b ə ɾ β 'a
batimètric	b ə t i m 'e t ɾ i k	b ə t i m 'ə t ɾ i k
beata	b e 'a t ə	ə e 'a t ə
beates	b e 'a t ə s	ə e 'a t ə s
becllarg	b ə k ʎ 'a ɾ k	b ə k ʎ 'a ɾ ə
beneïts	b ə n ə 'i t s	b ə n ə 'i s
berberetxo	b ə ɾ β ə ɾ 'e tʃ o	b ə ɾ β ə ɾ 'ə tʃ o
beure	b 'ə w ɾ ə	b 'e w ɾ ə
biogènesi	b i o ʒ 'e n ə z i	b i o ʒ 'ə n ə z i
bisexual	b i s ə t s u 'a l	b i z ə t s u 'a l
bisexualitat	b i s ə t s u ə l i t 'a t	b i z ə t s u ə l i t 'a t
bisexuals	b i s ə t s u 'a l s	b i z ə t s u 'a l s
bitlles	b 'i l l ə s	b 'i ʎ ʎ ə s
Blancaneus	b l ə ŋ k ə n 'e w s	b l ə ŋ k ə n ə 'u s
blens	b l 'ə n s	b l 'e n s
boirina	b o j ɾ 'i n ə	b o i ɾ 'i n ə
bolenga	b o l 'ə ŋ g ə	b o l 'e ŋ g ə
boletaire	b o l ə t 'a j ɾ ə	b o l ə t 'a i ɾ ə
bonzessa	b o n z 'ə s ə	b o n z 'e s ə
brànquia	b ɾ 'a ŋ k i ə	b ɾ ə ŋ k 'i ə
brànquies	b ɾ 'a ŋ k i ə s	b ɾ ə ŋ k 'i ə s
bressin	b ɾ 'ə s i n	b ɾ 'e s i n
brètol	b ɾ 'e t o l	b ɾ 'ə t o l
brètola	b ɾ 'e t o l ə	b ɾ 'ə t o l ə
brètoles	b ɾ 'e t o l ə s	b ɾ 'ə t o l ə s
brètols	b ɾ 'e t o ls	b ɾ 'ə t o l s
bretxa	b ɾ 'e tʃ ə	b ɾ 'ə tʃ ə
búbal	b 'u β ə l	b u β 'a l
búfal	b 'u f ə l	b u f 'a l
búfals	b 'u f ə l s	b u f 'a l s
buidada	b u j ð 'a ð ə	b u i ð 'a ð ə
buidades	b u j ð 'a ð ə s	b u i ð 'a ð ə s
buidar	b u j ð 'a	b u i ð 'a
buidatge	b u j ð 'a dʒ ə	b u i ð 'a dʒ ə
buidor	b u j ð 'o	b u i ð 'o
búlgara	b 'u l ɣ ə ɾ ə	b u l ɣ 'a ɾ ə
calamarsada	k ə l ə m ə ɾ s 'a ð ə	k ə l ə m ə s 'a ð ə
calamarsades	k ə l ə m ə ɾ s 'a ð ə s	k ə l ə m ə s 'a ð ə s
calàndria	k ə l 'a n d ɾ i ə	k ə l ə n d ɾ 'i ə
caler	k ə l 'ə	k ə l 'e
calorimètric	k ə l o ɾ i m 'e t ɾ i k	k ə l o ɾ i m 'ə t ɾ i k
calorimètrica	k ə l o ɾ i m 'e t ɾ i k ə	k ə l o ɾ i m 'ə t ɾ i k ə
calorimètrics	k ə l o ɾ i m 'e t ɾ i t s	k ə l o ɾ i m 'ə t ɾ i t s
calorimètriques	k ə l o ɾ i m 'e t ɾ i k ə s	k ə l o ɾ i m 'ə t ɾ i k ə s
canela	k ə n 'e l ə	k ə n 'ə l ə
caneles	k ə n 'e l ə s	k ə n 'ə l ə s
caníbals	k ə n 'i β ə l s	k ə n i β 'a l s
capsa	k 'a t s ə	k 'a s ə
càrcer	k 'a ɾ s ə	k 'a ɾ s e 
cardaire	k ə ɾ ð 'a j ɾ ə	k ə ɾ ð 'a i ɾ ə
cars	k 'a s	k 'a ɾ s
cartílag	k ə ɾ t 'i l ə k	k ə ɾ t 'i l ə tʃ
cartilaginoses	k ə ɾ t i l ə ʒ i n 'o z ə s	k ə ɾ t i l ə ʒ i n 'o s ə s
casernari	k ə z ə ɾ n 'a ɾ i	 k e z ə ɾ n 'a ɾ i
casernària	k ə z ə ɾ n 'a ɾ i ə	 k e z ə ɾ n 'a ɾ i ə
Caterina	k ə t ə ɾ 'i n ə	 k e t ə ɾ 'i n ə
cavernícola	k ə v ə ɾ n 'i k o l ə	 k e v ə ɾ n 'i k o l ə
cèdula	s 'e ð u l ə	s 'ə ð u l ə
cèdules	s 'e ð u l ə s	s 'ə ð u l ə s
cegues	s 'ə ɣ ə s	s 'e ɣ ə s
Ceilan	s ə j l 'a n	s ə i l 'a n
cella	s 'ə ʎ ə	s 'e ʎ ə
celles	s 'ə ʎ ə s	s 'e ʎ ə s
cens	s 'ə n s	s 'e n s
centren	s 'e n t ɾ ə n	s 'ə n t ɾ ə n
centres	s 'e n t ɾ ə s	s 'ə n t ɾ ə s
cèntrica	s 'e n t ɾ i k ə	s ə n t ɾ 'i k ə
cèntriques	s 'e n t ɾ i k ə s	s 'ə n t ɾ i k ə s
centro	s 'e n t ɾ o	s 'ə n t ɾ o
cèrcols	s 'e ɾ k o l s	s ə ɾ k 'o l s
cessen	s 'e s ə n	s 'ə s ə n
ciberespai	s i β ə ɾ ə s p 'a j	s i β ə ɾ ə s p 'a i
ciberespais	s i β ə ɾ ə s p 'a j s	s i β ə ɾ ə s p 'a i s
cilíndrica	s i l 'i n d ɾ i k ə	s i l i n d ɾ 'i k ə
circumcisió	s i ɾ k u n s i z i 'o	s i ɾ k u t s i z i 'o
Cirenaica	s i ɾ ə n 'a j k ə	s i ɾ ə n 'a i k ə
ciutadà	s i w t ə ð 'a	s i w t 'a ð 'a
clavicèmbal	k l ə v i s 'e m b ə l	k l ə v i s 'ə m b ə l
cofoi	k o f 'o j	k o f 'o i
colesteatoma	k o l ə s t e ə t 'o m ə	k o l ə s t ə ə t 'o m ə
colesteatomes	k o l ə s t e ə t 'o m ə s	k o l ə s t ə ə t 'o m ə s
comandaments	k o m ə n d ə m 'e n s	k o m ə n d ə m 'e n t s
comboi	k o m b 'o j	k o m b 'o i
còmplices	k 'o m p l i s ə s	k o m p l 'i s ə s
compten	k 'o m t ə n	k 'o m i t ə n
comtat	k o n t 'a t	k o ə t 'a t
comtats	k o n t 'a t s	k o ə t 'a t s
conduïts	k o n d u 'i t s	k o n d u 'i s
cònjuge	k 'o n ʒ u ʒ ə	k o n ʒ 'u ʒ ə
conquesta	k o ŋ k 'e s t ə	k o ŋ k 'ə s t ə
consciència	k o n t s i 'e n s i ə	k o n s i 'e n s i ə
conscient	k o n t s i 'e n t	k o n s i 'e n t
consell	k o n s 'ə ʎ	k o n s 'e ʎ
consens	k o n s 'ə n s	k o n s 'e n s
consignar	k o n s i n n 'a	k o n s i ə n 'a
cònsols	k 'o n s o l s	k o n s 'o l s
contigu	k o n t 'i ɣ u	k o n t 'i ɣ
contingents	k o n t i n ʒ 'e n s	k o n t i ŋ g 'e n s
contreure	k o n t ɾ 'ə w ɾ ə	k o n t ɾ 'e w ɾ ə
contribuïts	k o n t ɾ i β u 'i t s	k o n t ɾ i β u 'i s
coquessa	k o k 'ə s ə	k o k 'e s ə
coratjosa	k o ɾ ə dʒ 'o z ə	k o ɾ ə dʒ 'o s ə
coreans	k o ɾ e 'a n s	k o ɾ ə 'a n s
córner	k 'o ɾ n ə	k o ɾ n 'e 
corroïts	k o r o 'i t s	k o r o 'i s
corroure	k o r 'o w ɾ ə	k o r o 'u ɾ ə
Cortsaví	k o ɾ t s ə v 'i	k o ɾ s 'a v 'i
costoses	k o s t 'o z ə s	k o s t 'o s ə s
cotxe	k 'o tʃ o	k 'o tʃ ə
courenc	k o w ɾ 'ə ŋ k	k o u ɾ 'ə ŋ k
creador	k ɾ e ə ð 'o	k ɾ ə ə ð 'o
creatiu	k ɾ e ə t 'i w	k ɾ ə ə t 'i w
creatius	k ɾ e ə t 'i w s	k ɾ ə ə t 'i w s
creativa	k ɾ e ə t 'i v ə	k ɾ ə ə t 'i v ə
creatives	k ɾ e ə t 'i v ə s	k ɾ ə ə t 'i v ə s
creient	k ɾ ə j 'e n t	k ɾ ə i 'e n t
creixen	k ɾ 'e ʃ ə n	k ɾ 'ə ʃ ə n
créixer	k ɾ 'e ʃ ə	k ɾ ə ʃ 'e 
crema	k ɾ 'e m ə	k ɾ 'ə m ə
cremen	k ɾ 'e m ə n	k ɾ 'ə m ə n
cremes	k ɾ 'e m ə s	k ɾ 'ə m ə s
creure	k ɾ 'ə w ɾ ə	k ɾ 'e w ɾ ə
cuidada	k u j ð 'a ð ə	k u i ð 'a ð ə
cuidades	k u j ð 'a ð ə s	k u i ð 'a ð ə s
cuidar	k u j ð 'a	k u i ð 'a
cuidares	k u j ð 'a ɾ ə s	k u i ð 'a ɾ ə s
cuidava	k u j ð 'a v ə	k u i ð 'a v ə
cuinada	k u j n 'a ð ə	k u i n 'a ð ə
cuinades	k u j n 'a ð ə s	k u i n 'a ð ə s
cuinar	k u j n 'a	k u i n 'a
cuiner	k u j n 'e	k u i n 'e
cuitada	k u j t 'a ð ə	k u i t 'a ð ə
cuitades	k u j t 'a ð ə s	k u i t 'a ð ə s
cuitar	k u j t 'a	k u i t 'a
cursada	k u ɾ s 'a ð ə	k u ə s 'a ð ə
cursades	k u ɾ s 'a ð ə s	k u ə s 'a ð ə s
daina	d 'a j n ə	d 'a i n ə
dansaire	d ə n s 'a j ɾ ə	d ə n s 'a i ɾ ə
dansaires	d ə n s 'a j ɾ ə s	d ə n s 'a i ɾ ə s
de	d 'ə	d ə
dècada	d 'e k ə ð ə	d ə k 'a ð ə
dècade	d 'e k ə ð ə	d ə k 'a ð ə
dècima	d 'e s i m ə	d ə s i m ə
decréixer	d ə k ɾ 'e ʃ ə	d ə k ɾ ə ʃ 'e 
deduïts	d ə ð u 'i t s	d ə ð u 'i s
deguin	d 'ə ɣ i n	d 'e ɣ i n
deguis	d 'ə ɣ i s	d 'e ɣ i s
deis	d 'ə j s	d 'ə i s
deixeble	d ə ʃ 'e b b l ə	d ə ʃ 'ə b b l ə
delinquits	d ə l i ŋ k 'i t s	d ə l i ŋ k 'i s
dempeus	d ə m p 'e w s	d ə m p ə 'u s
Dénia	d 'e n i ə	d ə n 'i ə
dens	d 'ə n s	d 'e n s
derruïts	d ə r u 'i t s	d ə r u 'i s
desatendre	d ə z ə t 'e n d ɾ ə	d ə z ə t 'ə n d ɾ ə
desembeinar	d ə z ə m b ə j n 'a	d ə z ə m b ə i n 'a
desembre	d ə z 'e m b ɾ ə	d ə z 'ə m b ɾ ə
desesma	d ə z 'ə z m ə	d ə s 'ə z m ə
desfet	d ə s f 'e t	d ə s f 'ə t
desfeta	d ə s f 'e t ə	d ə s f 'ə t ə
desguàs	d ə z ɣ w 'a s	d ə z ɣ 'a s
desig	d ə z 'i tʃ	d ə z 'i ə
designada	d ə z i n n 'a ð ə	d ə z i ə n 'a ð ə
designades	d ə z i n n 'a ð ə s	d ə z i ə n 'a ð ə s
designar	d ə z i n n 'a	d ə z i ə n 'a
designat	d ə z i n n 'a t	d ə z i ə n 'a t
designats	d ə z i n n 'a t s	d ə z i ə n 'a t s
desigs	d ə z 'i tʃ s	d ə z 'i n s
desmai	d ə z m 'a j	d ə z m 'a i
deso	d 'e z o	d 'ə z o
desobeïts	d ə z o β ə 'i t s	d ə z o β ə 'i s
destituïts	d ə s t i t u 'i t s	d ə s t i t u 'i s
destra	d 'e s t ɾ ə	d 'ə s t ɾ ə
destres	d 'e s t ɾ ə s	d 'ə s t ɾ ə s
destruïts	d ə s t ɾ u 'i t s	d ə s t ɾ u 'i s
deure	d 'ə w ɾ ə	d 'e w ɾ ə
diamants	d i ə m 'a n s	d i ə m 'a n t s
dièsel	d i 'ə z ə l	d i 'ə s ə l
difoses	d i f 'o z ə s	d i f 'o s ə s
dijous	d i ʒ 'o w s	d i ʒ o 'u s
dionisíac	d i o n i z 'i ə k	d i o n i s 'i ə k
dírham	d 'i ɾ ə m	d i ɾ 'a m
dismenorrea	d i z m ə n o r 'e ə	d i z m ə n 'o r 'e ə
distendre	d i s t 'e n d ɾ ə	d i s t 'ə n d ɾ ə
distingida	d i s t i n ʒ 'i ð ə	d i s t i ŋ g 'i ð ə
distingir	d i s t i n ʒ 'i	d i s t i ŋ g 'i
distingit	d i s t i n ʒ 'i t	d i s t i ŋ g 'i t
distingits	d i s t i n ʒ 'i t s	d i s t i ŋ g 'i t s
distreta	d i s t ɾ 'e t ə	d i s t ɾ 'ə t ə
distreure	d i s t ɾ 'ə w ɾ ə	d i s t ɾ 'e w ɾ ə
distribuïts	d i s t ɾ i β u 'i t s	d i s t ɾ i β u 'i s
dividend	d i v i ð 'e n t	d i v i ð 'ə n t
Djibouti	dʒ i β 'o w t i	d ʒ i β o 'u t i
dodecàedre	d o ð ə k 'a ə ð ɾ ə	d o ð ə t s ə ð ɾ ə
dòlar	d 'o l ə	d o l 'a
dolçaina	d o l s 'a j n ə	d o l s 'a i n ə
doler	d o l 'ə	d o l 'e
domtà	d o n t 'a	d o m 'a
dreces	d ɾ 'ə s ə s	d ɾ 'e s ə s
Ebre	'e β ɾ ə	'ə β ɾ ə
ebri	'e β ɾ i	'ə β ɾ i
eclipsa	ə k l 'i t s ə	ə k l 'i s ə
ecosistema	ə k o s i s t 'e m ə	ə k o z i s t 'ə m ə
Eduard	ə ð u 'a ɾ t	ə ð u 'a ɾ ə
efectuats	ə f ə t t u 'a t s	ə f ə t t u 'a s
ègida	'ə ʒ i ð ə	'e ʒ i ð ə
ego	'e ɣ o	'ə ɣ o
Eivissa	ə j v 'i s ə	ə i v 'i s ə
eixe	'e ʃ ə	'ə ʃ ə
ele	'e l ə	'ə l ə
elèctric	ə l 'ə t t ɾ i k	ə l 'e t t ɾ i k
elèctrica	ə l 'ə t t ɾ i k ə	ə l ə t t ɾ 'i k ə
elèctrics	ə l 'ə t t ɾ i t s	ə l ə t t ɾ 'i t s
elèctriques	ə l 'ə t t ɾ i k ə s	ə l 'e t t ɾ i k ə s
elèctrode	ə l 'ə t t ɾ o ð ə	ə l 'e t t ɾ o ð ə
eles	'e l ə s	'ə l ə s
Eloi	ə l 'o j	ə l 'o i
eloqüent	ə l o k w 'e n t	ə l o ə w 'e n t
elusiu	ə l u z 'i w	e l u z 'i w
elusius	ə l u z 'i w s	e l u z 'i w s
elusiva	ə l u z 'i v ə	e l u z 'i v ə
elusives	ə l u z 'i v ə s	e l u z 'i v ə s
elxans	ə l ʃ 'a n s	ə ʃ 'a n s
em	'ə m	ə m
emblema	ə m b l 'e m ə	ə m b l 'ə m ə
emboirar	ə m b o j ɾ 'a	ə m b o i ɾ 'a
emfisema	ə m f i z 'e m ə	ə m f i z 'ə m ə
empaitar	ə m p ə j t 'a	ə m p ə i t 'a
empènyer	ə m p 'ə ɲ ə	ə m p ə ɲ 'e 
empiema	ə m p i 'e m ə	ə m p i 'ə m ə
empleat	ə m p l e 'a t	ə m p l ə 'a t
empra	'e m p ɾ ə	'ə m p ɾ ə
empren	'e m p ɾ ə n	'ə m p ɾ ə n
ena	'e n ə	'ə n ə
encendre	ə n s 'e n d ɾ ə	ə n s 'ə n d ɾ ə
ene	'e n ə	'ə n ə
enlairament	ə n l ə j ɾ ə m 'e n t	ə n l ə i ɾ ə m 'e n t
enlletgir	ə n ʎ ə dʒ 'i	ə n ʎ ə tʃ 'i
enmig	ə m m 'i tʃ	ə n m 'i k
enquesta	ə ŋ k 'e s t ə	ə ŋ k 'ə s t ə
ensems	ə n s 'e n s	ə n s 'ə n s
entelèquia	ə n t e l 'ə k i ə	ə n t ə l 'e k i ə
entendre	ə n t 'e n d ɾ ə	ə n t 'ə n d ɾ ə
entren	'e n t ɾ ə n	'ə n t ɾ ə n
entres	'e n t ɾ ə s	'ə n t ɾ ə s
entro	'e n t ɾ o	'ə n t ɾ o
epicens	ə p i s 'ə n s	ə p i s 'e n s
epifonema	ə p i f o n 'e m ə	ə p i f o n 'ə m ə
èpsilon	'ə t s i l o n	e t s i l 'o n
eqüestre	ə k w 'e s t ɾ ə	ə k w 'ə s t ɾ ə
equivaler	ə k i v ə l 'ə	ə k i v ə l 'e
erèctil	ə ɾ 'ə t t i l	ə ɾ 'e t t i l
escaguitxar	ə s k ə ɣ i tʃ 'a	ə s k ə ɣ i t ə 'a
escairar	ə s k ə j ɾ 'a	ə s k ə i ɾ 'a
escairat	ə s k ə j ɾ 'a t	ə s k ə i ɾ 'a t
escairats	ə s k ə j ɾ 'a t s	ə s k ə i ɾ 'a t s
escalens	ə s k ə l 'ə n s	ə s k ə l 'e n s
escàner	ə s k 'a n ə	ə s k 'a n e 
escarabeu	ə s k ə ɾ ə β 'e w	ə s k ə ɾ ə β 'ə w
escèptic	ə t s 'ə t t i k	ə t s 'e t t i k
escèptica	ə t s 'ə t t i k ə	ə t s 'e t t i k ə
escèptics	ə t s 'ə t t i t s	ə t s 'e t t i t s
escèptiques	ə t s 'ə t t i k ə s	ə t s 'e t t i k ə s
escletxa	ə s k l 'e tʃ ə	ə s k l 'ə tʃ ə
escombriaire	ə s k o m b ɾ i 'a j ɾ ə	ə s k o m b ɾ i ə 'i ɾ ə
esfilagarsada	ə s f i l ə ɣ ə ɾ s 'a ð ə	ə s f i l ə ɣ ə s 'a ð ə
esfilagarsades	ə s f i l ə ɣ ə ɾ s 'a ð ə s	ə s f i l ə ɣ ə s 'a ð ə s
esfilagarsar	ə s f i l ə ɣ ə ɾ s 'a	ə s f i l ə ɣ ə s 'a
esglai	ə z ɣ l 'a j	ə z ə l 'a i
esgüellar	ə z g w ə ʎ 'a	ə z ɣ e ə ʎ 'a
esguerro	ə z ɣ 'e r o	ə z ɣ u 'e r o
esment	ə z m 'e n t	e z m 'e n t
esmorteïts	ə z m o ɾ t ə 'i t s	ə z m o ɾ t ə 'i s
espagueti	ə s p ə ɣ 'e t i	ə s p ə ɣ u 'e t i
espai	ə s p 'a j	ə s p 'a i
espais	ə s p 'a j s	ə s p 'a i s
espècia	ə s p 'ə s i ə	ə s p 'e s i ə
espècie	ə s p 'ə s i ə	ə s p 'e s i ə
espècimen	ə s p 'ə s i m ə n	ə s p 'e s i m ə n
espinavessa	ə s p i n ə v 'ə s ə	ə s p i n ə v 'e s ə
esplai	ə s p l 'a j	ə s p l 'a i
esplèndid	ə s p l 'ə n d i t	ə s p l 'e n d i t
esplèndida	ə s p l 'ə n d i ð ə	ə s p l 'e n d i ð ə
esplèndides	ə s p l 'ə n d i ð ə s	ə s p l 'e n d i ð ə s
esplèndids	ə s p l 'ə n d i t s	ə s p l 'e n d i t s
espondilodiscitis	ə s p o n d i l o ð i t s 'i t i s	ə s p o n d i l o ð 'i z s 'i t i s
esprémer	ə s p ɾ 'e m ə	ə s p ɾ ə m 'e 
esquetx	ə s k 'e tʃ	ə s k 'ə tʃ
essa	'ə s ə	'e s ə
esser	ə s 'ə	ə s 'e
esta	'e s t ə	'ə s t ə
estai	ə s t 'a j	ə s t 'a i
estendre	ə s t 'e n d ɾ ə	ə s t 'ə n d ɾ ə
estèpic	ə s t 'ə p i k	ə s t 'e p i k
estèpica	ə s t 'ə p i k ə	ə s t 'e p i k ə
estèpics	ə s t 'ə p i t s	ə s t 'e p i t s
estèpiques	ə s t 'ə p i k ə s	ə s t 'e p i k ə s
estiuats	ə s t i w 'a t s	ə s t i w 'a s
estoig	ə s t 'o tʃ	ə s t o 'i ə
estómac	ə s t 'o m ə k	ə s t o m 'a k
estranger	ə s t ɾ ə n ʒ 'e	ə s t ɾ ə ŋ g 'e
estratagema	ə s t ɾ ə t ə ʒ 'e m ə	ə s t ɾ ə t ə ʒ 'ə m ə
